DATE,SITE,LONGITUDE,LATITUDE,DEPTH,SST,BT,VISIBILITY,PENCIL_URCHIN,HYDROZOAN,SOFT_CORAL,ANEMONE,SPONGE_SOL,SPONGE_SUB,SEAPEN,SEAGRASS,SHELL,SEAHORSES
12/19/2012,1,103.3040611,10.63948333,17.5,30,29,8,24,8,0,2,15,27,1,0,15,0
12/20/2012,341,103.3097111,10.63215278,11,30,29,8,1,0,0,14,3,5,2,0.05,1,0
12/20/2012,371,103.3107944,10.63186111,7.9,30,29,8,24,1,1,17,3,5,2,0.15,5,1
12/20/2012,456,103.3121667,10.63009167,8,30,29,2,13,2,3,4,4,6,5,0.05,1,0
12/21/2012,341,103.3097111,10.63215278,7,30,29,2.5,10,2,6,3,9,7,2,0.1,1,0
12/21/2012,53,103.3144417,10.64365556,8,31,30,6,42,0,0,5,5,4,1,0,2,1
12/26/2012,116,103.3066222,10.63738056,11.4,30,29,3,29,3,0,4,4,2,11,0,5,2
12/27/2012,201,103.3080361,10.63556111,10.3,30,29,4,42,1,1,2,4,2,2,0.02,20,1
12/27/2012,117,103.3070417,10.637575,12.5,30,29,5,41,6,0,7,9,0,7,0.02,5,4
12/28/2012,197,103.3063639,10.63477222,9,30,29,6,139,3,0,3,14,3,17,0,10,0
12/29/2012,471,103.3184861,10.63310556,11.4,30,30,2.5,12,9,0,2,1,0,7,0,1,0
1/2/2013,238,103.3120722,10.63663333,10.9,29,29,10.9,12,4,0,9,4,2,15,0,2,0
1/2/2013,376,103.3129028,10.63286111,11,29,29,4,11,0,0,7,7,0,1,0.04,0,2
1/3/2013,445,103.3190028,10.63412222,12,,,5,10,15,1,3,0,3,1,0,1,1
1/4/2013,57,103.3047222,10.63814444,12,,,6,160,7,14,0,5,14,0,0,95,0
1/7/2013,249,103.3167361,10.63885556,20,30,30,4,86,0,0,0,9,5,0,0,25,0
1/7/2013,404,103.313225,10.6322,12.2,28,28,3,8,0,1,13,8,3,1,0,1,3
1/8/2013,214,103.3133861,10.63809167,15.9,28,28,3,74,4,2,4,11,8,0,0,20,2
1/8/2013,344,103.3108944,10.63271111,9.5,29,29,5,23,0,1,2,4,1,3,0,0,0
1/9/2013,21,103.3123306,10.64345556,14.5,30,28,6,168,0,0,1,0,2,12,0,22.5,0
1/11/2013,416,103.3182944,10.63460556,9,,,5,3,5,0,2,0,0,3,0,0,0
1/14/2013,415,103.3178472,10.63439444,8.1,28,28,5,30,0,0,4,2,4,11,0,0,0
1/16/2013,91,103.3075,10.63865,13.6,30,28,6,65,11,1,7,0,2,3,0,20,0
1/16/2013,61,103.3063778,10.63893333,13,30,28,7,52,8,1,3,1,6,13,0.03,15,0
1/17/2013,43,103.3101667,10.64159444,22.2,30,28,5.5,240,0,1,7,2,8,0,0,60,0
1/17/2013,227,103.3075222,10.63446667,7,,,7,50,1,6,8,10,10,51,0,5,4
1/14/2013,238,103.3120722,10.63663333,12,28,28,5,6,5,0,5,0,7,7,0,1,1
1/21/2013,320,103.3122389,10.63422778,10,29,28,6,20,3,4,10,6,5,14,0,0,0
1/21/2013,309,103.3076889,10.63205278,6.5,29,28,7,17,0,0,3,13,7,8,0,1,1
1/22/2013,,,,18,,,5,79,6,0,2,16,6,0,,,0
1/23/2013,89,103.3067083,10.63826389,10.7,27,28,6,88,9,5,4,1,0,13,0,13,1
1/23/2013,406,103.3140444,10.63258889,12.2,27,28,7,22,4,2,13,6,2,2,0,2,1
1/24/2013,503,103.310475,10.62846944,7.2,28,28,7,6,3,3,6,2,1,91,0,0,0
1/24/2013,534,103.3120611,10.62841944,10.1,28,28,6,37,10,11,1,5,21,43,0,0,3
1/25/2013,540,103.3145944,10.62963611,14.6,30,28,4,11,26,3,13,5,5,5,0,0,1
1/25/2013,534,103.3120611,10.62841944,9.1,29,28,4,27,5,5,4,5,9,115,0.05,1,1
1/28/2013,627,103.3163972,10.62806944,12,29,28,3,7,3,5,13,3,3,14,0,0,0
1/28/2013,520,103.31765,10.63191667,13.6,29,27,4,11,11,1,6,13,10,1,0,1,0
1/29/2013,333,103.3177028,10.63683611,17.7,28,27,4,96,10,3,5,8,11,1,0,60,0
1/29/2013,534,103.312,10.628,12,29,28,5,20,1,0,2,4,0,9,0,0,0
1/30/2013,542,103.3154389,10.63004167,14.3,29,28,5,8,14,0,0,2,6,4,0,3,0
1/31/2013,415,103.3178472,10.63439444,,29,28,5,6,1,3,9,5,1,32,0,0,0
2/1/2013,529,103.3099417,10.62740556,7,30,29,5,0,3,6,10,1,5,169,0,1,0
2/4/2013,475,103.3201083,10.63387778,11.9,,28,3,14,21,7,17,6,0,14,0,0,0
2/4/2013,225,103.3177083,10.64014167,7.6,,28,3,83,1,4,19,11,12,7,0,0,2
2/5/2013,322,103.3130583,10.63460833,10,,,3,17,20,5,11,7,3,10,0,2,0
2/6/2013,79,103.3138389,10.64254167,22,,29,2,38,1,0,4,7,8,0,0,40,0
2/6/2013,350,103.3134,10.63391111,15,30,29,2,63,10,4,5,9,9,0,0,45,0
2/7/2013,393,103.3086722,10.63003611,5,30,30,4,1,1,0,11,1,0,5,0,10,0
2/8/2013,267,103.3128111,10.63614722,11,29,28,4,14,16,2,11,10,0,21,0,0,1
2/8/2013,283,103.3081833,10.63312222,7.9,,27,4,24,1,4,5,13,6,5,0,0.8,1
2/12/2013,541,103.3150167,10.62983889,11,,,5,20,52,7,23,3,4,42,,2,1
2/12/2013,141,103.3057,10.63611389,7,,,4,36,2,6,4,6,7,6,0,35,0
2/13/2013,628,103.3168194,10.62827222,16.5,30,28,4,6,15,1,8,5,7,5,0,0,0
2/13/2013,314,103.309775,10.63305278,8,30,28,4.5,25,2,0,4,12,9,2,,0,2
2/14/2013,383,103.3157611,10.63421667,11,,,5,2,155,0,3,10,5,20,0,0,1
2/14/2013,503,103.310475,10.62846944,7,,,6,20,7,2,15,3,6,208,,0,1
2/15/2013,241,103.3133,10.63721944,14,,29,2.5,30,3,0,7,2,10,0,0,5,0
2/15/2013,513,103.3146972,10.63049722,13,,,2.2,5,13,0,9,5,0,2,0,2,0
2/22/2013,455,103.31175,10.62989444,9,,29,5,11,6,0,14,4,12,40,,2,0
2/22/2013,337,103.3080306,10.63135278,6.6,,29,7,6,3,1,7,13,3,6,0,2,0
2/24/2013,102,103.3120667,10.64085,8.6,,29,3.5,6,0,1,1,11,8,3,0,0.5,0
2/24/2013,182,103.3114111,10.63799722,16,,29,5,84,3,1,10,20,7,0,,85,0
2/25/2013,506,103.3117417,10.62908056,9.1,,29,5,28,2,1,5,4,10,42,,20,1
2/25/2013,421,103.3089917,10.62938056,6.3,,29,6,2,1,0,9,0,0,6,0,0,0
2/25/2013,283,103.3081833,10.63312222,8,,29,4,19,0,0,4,23,2,4,0,10,1
2/26/2013,572,103.3166028,10.62978889,17.5,,29,5,3,16,0,7,35,0,2,0,5,0
2/27/2013,147,103.3081611,10.637275,11.1,,29,4.5,1,0,0,0,0,0,4,0,0,0
2/27/2013,565,103.3136472,10.62836944,13.5,,29,5,7,36,1,12,13,25,26,0,0.5,1
2/28/2013,244,103.3145361,10.63780556,16.2,,29,4.5,48,15,2,6,3,32,0,0,70,0
2/28/2013,226,103.3071083,10.63426944,8.1,,29,6,34,1,0,2,15,10,10,0,30,1
3/1/2013,589,103.3118556,10.6267,6.4,,29,7,0,2,0,7,2,47,31,0,40,0
3/1/2013,414,103.3174444,10.63420278,9.6,,29,6,8,14,0,1,0,0,0,0,0,0
